address,class,city,state,latitude,longitude,accuracy,accuracy_type,zipcode,exact_match,geoid,geometry
3741 EASTERN AVE NE,RESIDENTIAL,Cedar Rapids,IA,42.01683,-91.647886,1,rooftop,52402,Yes,191130008003002,POINT (-91.647886 42.01683)
3759 NORTHWOOD DR NE,RESIDENTIAL,Cedar Rapids,IA,42.017893,-91.67518100000001,1,rooftop,52402,Yes,191130009014010,POINT (-91.67518100000001 42.017893)
3801 BLAIRS FERRY RD NE,EXEMPT COMM,Cedar Rapids,IA,42.034092,-91.695585,1,rooftop,52402,Yes,191130009011015,POINT (-91.69558499999999 42.034092)
3801 KING DR SW,RESIDENTIAL,Cedar Rapids,IA,41.940411,-91.712962,1,rooftop,52404,Yes,191130030012067,POINT (-91.712962 41.940411)
3824 LENNOX AVE NE,RESIDENTIAL,Cedar Rapids,IA,42.017996000000004,-91.642338,1,rooftop,52402,Yes,191130007002008,POINT (-91.642338 42.017996)
3923 FALBROOK DR NE,RESIDENTIAL,Cedar Rapids,IA,42.020323,-91.678605,1,rooftop,52402,Yes,191130009014008,POINT (-91.678605 42.020323)
393 31ST ST SE,RESIDENTIAL,Cedar Rapids,IA,41.983354,-91.623019,1,rooftop,52403,Yes,191130016003004,POINT (-91.623019 41.983354)
3953 21ST AVE PL SW,RESIDENTIAL,Cedar Rapids,IA,41.959103000000006,-91.722612,1,rooftop,52404,No,191130010034015,POINT (-91.722612 41.95910300000001)
4003 J ST SW,COMMERCIAL,Cedar Rapids,IA,41.938464,-91.665639,1,rooftop,52404,No,191130030022020,POINT (-91.665639 41.938464)
4011 22ND AVE SW,RESIDENTIAL,Cedar Rapids,IA,41.957684,-91.723394,1,rooftop,52404,No,191130010034024,POINT (-91.723394 41.957684)
4309 CAVALIER ST NE,RESIDENTIAL,Cedar Rapids,IA,42.024370000000005,-91.645865,1,rooftop,52402,Yes,191130008001018,POINT (-91.645865 42.02437)
4316 CAVALIER ST NE,RESIDENTIAL,Cedar Rapids,IA,42.02426,-91.64638599999999,1,rooftop,52402,Yes,191130008001019,POINT (-91.64638599999999 42.02426)
4349 CAVALIER ST NE,RESIDENTIAL,Cedar Rapids,IA,42.025319,-91.647559,1,rooftop,52402,Yes,191130008001016,POINT (-91.647559 42.025319)
4400 WHITE PINE DR NE,RESIDENTIAL,Cedar Rapids,IA,42.024048,-91.67809399999999,1,rooftop,52402,Yes,191130009012006,POINT (-91.67809399999999 42.024048)
4420 BOWLING ST SW,MULTI-RES,Cedar Rapids,IA,41.934164,-91.658988,1,rooftop,52404,No,191130030022015,POINT (-91.65898799999999 41.934164)
4425 CENTER POINT RD NE,COMMERCIAL,Cedar Rapids,IA,41.976612,-91.657578,1,place,52401,,191130027002008,POINT (-91.657578 41.976612)
4432 SHERMAN ST NE,RESIDENTIAL,Cedar Rapids,IA,42.023871,-91.659888,1,rooftop,52402,Yes,191130008002032,POINT (-91.659888 42.023871)
4500 WILSON AVE SW,INDUSTRIAL,Cedar Rapids,IA,41.957206,-91.729743,1,rooftop,52404,Yes,191130010034021,POINT (-91.729743 41.957206)
4515 20TH AVE SW,COMMERCIAL,Cedar Rapids,IA,41.959475,-91.729724,1,rooftop,52404,No,191130010034021,POINT (-91.729724 41.959475)
4607 WILSON AVE SW,MULTI-RES,Cedar Rapids,IA,41.95624,-91.73178100000001,1,rooftop,52404,,191130030012006,POINT (-91.73178100000001 41.95624)
4619 F AVE NE,RESIDENTIAL,Cedar Rapids,IA,42.025859999999994,-91.643135,1,rooftop,52402,Yes,191130007001012,POINT (-91.643135 42.02585999999999)
4700 WENIG RD NE,RESIDENTIAL,Cedar Rapids,IA,42.026410999999996,-91.679156,1,rooftop,52402,Yes,191130009012009,POINT (-91.67915600000001 42.026411)
4719 F AVE NE,RESIDENTIAL,Cedar Rapids,IA,42.026692,-91.643178,1,rooftop,52402,Yes,191130007001013,POINT (-91.64317800000001 42.026692)
4723 DANBURY ST NE,RESIDENTIAL,Cedar Rapids,IA,42.026817,-91.64218699999999,1,rooftop,52402,Yes,191130007001012,POINT (-91.64218699999999 42.026817)
4736 F AVE NE,RESIDENTIAL,Cedar Rapids,IA,42.027352,-91.64367299999999,1,rooftop,52402,Yes,191130008001000,POINT (-91.64367299999999 42.027352)
485 JACOLYN DR NW,RESIDENTIAL,Cedar Rapids,IA,41.978219,-91.73566600000001,1,rooftop,52405,Yes,191130010012014,POINT (-91.73566600000001 41.978219)
494 INDIAN RD SE,RESIDENTIAL,Cedar Rapids,IA,41.992753,-91.62879000000001,1,rooftop,52403,Yes,191130016001000,POINT (-91.62879000000001 41.992753)
510 16TH AVE SE,EXEMPT COMM,Cedar Rapids,IA,41.97115,-91.65397800000001,1,rooftop,52401,Yes,191130027001040,POINT (-91.65397800000001 41.97115)
5150 20TH AVE SW,COMMERCIAL,Cedar Rapids,IA,41.960825,-91.736627,1,rooftop,52404,Yes,191130010034012,POINT (-91.736627 41.960825)
5405 ELY RD SW,COMMERCIAL,Cedar Rapids,IA,41.924158,-91.635324,1,rooftop,52404,Yes,191130030021074,POINT (-91.635324 41.924158)
5411 D AVE NW,RESIDENTIAL,Cedar Rapids,IA,41.977525,-91.740881,1,rooftop,52405,Yes,191130010022004,POINT (-91.740881 41.977525)
5412 CENTER POINT RD NE,COMMERCIAL,Cedar Rapids,IA,41.976612,-91.657578,1,place,52401,,191130027002008,POINT (-91.657578 41.976612)
5419 D AVE NW,RESIDENTIAL,Cedar Rapids,IA,41.977521,-91.741114,1,rooftop,52405,Yes,191130010022004,POINT (-91.741114 41.977521)
5421 WYOMING DR SW,RESIDENTIAL,Cedar Rapids,IA,41.923178,-91.663586,1,rooftop,52404,Yes,191130030022043,POINT (-91.663586 41.923178)
5505 6TH ST SW,MULTI-RES,Cedar Rapids,IA,41.924744,-91.67489499999999,1,rooftop,52404,No,191130030023061,POINT (-91.67489499999999 41.924744)
5715 6TH ST SW,COMMERCIAL,Cedar Rapids,IA,41.921996,-91.675093,1,rooftop,52404,Yes,191130030023060,POINT (-91.675093 41.921996)
5913 16TH AVE SW,COMMERCIAL,Cedar Rapids,IA,41.963466,-91.748483,1,rooftop,52404,Yes,191130030013000,POINT (-91.74848299999999 41.963466)
61 SUMMER CIR NE,MULTI-RES,Cedar Rapids,IA,42.032551,-91.689148,1,rooftop,52402,Yes,191130009011006,POINT (-91.689148 42.032551)
615 HEARTHSTONE DR NW,RESIDENTIAL,Cedar Rapids,IA,41.97583,-91.76021300000001,1,rooftop,52405,Yes,191130106002113,POINT (-91.76021300000001 41.97583)
616 25TH ST NE,RESIDENTIAL,Cedar Rapids,IA,42.004127000000004,-91.643275,1,rooftop,52402,Yes,191130014003020,POINT (-91.643275 42.004127)
631 27TH ST NW,RESIDENTIAL,Cedar Rapids,IA,41.979119,-91.707995,1,rooftop,52405,Yes,191130011012012,POINT (-91.707995 41.979119)
646 GRANT WOOD DR SE,RESIDENTIAL,Cedar Rapids,IA,41.978728000000004,-91.629283,1,rooftop,52403,Yes,191130016002012,POINT (-91.629283 41.978728)
6503 SOUTH AVE SW,MULTI-RES,Cedar Rapids,IA,41.958273999999996,-91.747553,1,rooftop,52404,Yes,191130030013000,POINT (-91.747553 41.958274)
6519 DANBERN LN NE,RESIDENTIAL,Cedar Rapids,IA,42.043765,-91.659525,1,rooftop,52402,Yes,191130002071003,POINT (-91.659525 42.043765)
6708 BLUE STONE CT NW,RESIDENTIAL,Cedar Rapids,IA,41.979937,-91.757976,1,rooftop,52405,Yes,191130106002112,POINT (-91.757976 41.979937)
6710 INWOOD LN NE,RESIDENTIAL,Cedar Rapids,IA,42.045838,-91.660945,1,rooftop,52402,Yes,191130002071000,POINT (-91.660945 42.045838)
7007 DOUBLETREE RD NE,RESIDENTIAL,Cedar Rapids,IA,42.048722,-91.65163100000001,1,rooftop,52402,Yes,191130002062067,POINT (-91.65163100000001 42.048722)
706 J AVE NE,COMMERCIAL,Cedar Rapids,IA,42.001672,-91.676335,1,rooftop,52402,Yes,191130009022011,POINT (-91.67633499999999 42.001672)
725 1ST AVE SW,COMMERCIAL,Cedar Rapids,IA,41.973312,-91.681632,1,rooftop,52404,,191130022001045,POINT (-91.68163199999999 41.973312)
727 1ST AVE SW,COMMERCIAL,Cedar Rapids,IA,41.973228999999996,-91.681728,1,rooftop,52404,,191130022001045,POINT (-91.68172800000001 41.973229)
736 30TH ST NE,RESIDENTIAL,Cedar Rapids,IA,42.008471,-91.64520300000001,1,rooftop,52402,Yes,191130014003003,POINT (-91.64520300000001 42.008471)
7902 SANDHURST DR NW,RESIDENTIAL,Cedar Rapids,IA,41.973638,-91.772685,1,rooftop,52405,Yes,191130106002146,POINT (-91.772685 41.973638)
815 JACOLYN DR NW,RESIDENTIAL,Cedar Rapids,IA,41.980478000000005,-91.735691,1,rooftop,52405,Yes,191130010012011,POINT (-91.735691 41.98047800000001)
820 3RD AVE SW,RESIDENTIAL,Cedar Rapids,IA,41.971451,-91.681527,1,rooftop,52404,Yes,191130022001074,POINT (-91.681527 41.971451)
917 2ND ST SE,COMMERCIAL,Cedar Rapids,IA,41.971291,-91.661571,1,rooftop,52401,,191130027002055,POINT (-91.661571 41.971291)
